oem,model,rssi correction (android rssi + rssi correction = iphone rssi),tx (as iphone would report for same power),has direct measurement
Asus,AST21,-6,-22,no
Asus,ASUS Chromebook C202SA,-6,-22,no
Asus,ASUS Chromebook Flip C100PA,-6,-22,no
Asus,ASUS Chromebook Flip C101PA,-6,-22,no
Asus,ASUS Chromebook Flip C302,-6,-22,no
Asus,ASUS K00S,-6,-22,no
Asus,ASUS MeMO Pad 7,-6,-22,no
Asus,ASUS Pad TF300T,-6,-22,no
Asus,ASUS Pad TF700T,-6,-22,no
Asus,ASUS PadFone X,-6,-22,no
Asus,ASUS PadFone X mini,-6,-22,no
Asus,ASUS Tablet P1801-T,-6,-22,no
Asus,ASUS Tablet P1802-T,-6,-22,no
Asus,ASUS Transformer 300,-6,-22,no
Asus,ASUS Transformer Pad TF300T,-6,-22,no
Asus,ASUS Transformer Pad TF300TG,-6,-22,no
Asus,ASUS Transformer Pad TF300TL,-6,-22,no
Asus,ASUS Transformer Pad TF502T,-6,-22,no
Asus,ASUS Transformer Pad TF600T,-6,-22,no
Asus,ASUS Transformer Pad TF700KL,-6,-22,no
Asus,ASUS Transformer Pad TF700T,-6,-22,no
Asus,ASUS ZenFone 2,-6,-22,no
Asus,ASUS ZenFone 2E,-6,-22,no
Asus,ASUS ZenWatch,-6,-22,no
Asus,ASUS ZenWatch 2,-6,-22,no
Asus,ASUS ZenWatch 3,-6,-22,no
Asus,ASUS_A001,-1,-22,yes
Asus,ASUS_A001D,-6,-22,no
Asus,ASUS_A002,-6,-22,no
Asus,ASUS_A002A,-6,-22,no
Asus,ASUS_A006,-6,-22,no
Asus,ASUS_A007,-6,-22,no
Asus,ASUS_A009,-6,-22,no
Asus,ASUS_I001D,-6,-22,no
Asus,ASUS_I01WD,-6,-22,no
Asus,ASUS_L001,-6,-22,no
Asus,ASUS_P00I,-6,-22,no
Asus,ASUS_P00J,-6,-22,no
Asus,ASUS_T00E,-6,-22,no
Asus,ASUS_T00F,-6,-22,no
Asus,ASUS_T00G,-6,-22,no
Asus,ASUS_T00I,-6,-22,no
Asus,ASUS_T00I-D,-6,-22,no
Asus,ASUS_T00J,-6,-22,no
Asus,ASUS_T00K,-6,-22,no
Asus,ASUS_T00N,-6,-22,no
Asus,ASUS_T00P,-6,-22,no
Asus,ASUS_T00Q,-6,-22,no
Asus,ASUS_T00T,-6,-22,no
Asus,ASUS_X002,-6,-22,no
Asus,ASUS_X003,-6,-22,no
Asus,ASUS_X005,-6,-22,no
Asus,ASUS_X007D,-6,-22,no
Asus,ASUS_X008D,-8,-19,no
Asus,ASUS_X008DA,-8,-19,no
Asus,ASUS_X008DB,-8,-19,no
Asus,ASUS_X008DC,-8,-19,yes
Asus,ASUS_X009DB,-6,-22,no
Asus,ASUS_X00AD,-6,-22,no
Asus,ASUS_X00BD,-6,-22,no
Asus,ASUS_X00DD,-6,-22,no
Asus,ASUS_X00DDA,-6,-22,no
Asus,ASUS_X00GD,-6,-22,no
Asus,ASUS_X00HD,-6,-22,no
Asus,ASUS_X00HDA,-6,-22,no
Asus,ASUS_X00ID,-6,-22,no
Asus,ASUS_X00LD,-6,-22,no
Asus,ASUS_X00LDA,-6,-22,no
Asus,ASUS_X00LDB,-6,-22,no
Asus,ASUS_X00PD,-6,-22,no
Asus,ASUS_X00QD,-6,-22,no
Asus,ASUS_X00QSA,-6,-22,no
Asus,ASUS_X00RD,-6,-22,no
Asus,ASUS_X00TD,-8,-29,yes
Asus,ASUS_X00TDB,-8,-29,no
Asus,ASUS_X013DA,-6,-22,no
Asus,ASUS_X013DB,-6,-22,no
Asus,ASUS_X014D,-6,-22,no
Asus,ASUS_X017D,-6,-22,no
Asus,ASUS_X017DA,-6,-22,no
Asus,ASUS_X018D,-6,-23,yes
Asus,ASUS_X01AD,-6,-22,no
Asus,ASUS_X01BDA,-5,-26,yes
Asus,ASUS_X550,-6,-22,no
Asus,ASUS_Z002,-6,-22,no
Asus,ASUS_Z007,-6,-22,no
Asus,ASUS_Z008D,-6,-22,no
Asus,ASUS_Z00AD,-6,-22,no
Asus,ASUS_Z00ADA,-6,-22,no
Asus,ASUS_Z00ADB,-6,-22,no
Asus,ASUS_Z00ED,-6,-22,no
Asus,ASUS_Z00EDB,-6,-22,no
Asus,ASUS_Z00LD,-6,-22,no
Asus,ASUS_Z00LDC,-6,-22,no
Asus,ASUS_Z00MD,-6,-22,no
Asus,ASUS_Z00RD,-6,-22,no
Asus,ASUS_Z00SD,-6,-22,no
Asus,ASUS_Z00TD,-6,-22,no
Asus,ASUS_Z00UD,-6,-22,no
Asus,ASUS_Z00UDA,-6,-22,no
Asus,ASUS_Z00VD,-6,-22,no
Asus,ASUS_Z00WD,-6,-22,no
Asus,ASUS_Z00XS,-6,-22,no
Asus,ASUS_Z00XSA,-6,-22,no
Asus,ASUS_Z00XSB,-6,-22,no
Asus,ASUS_Z00YD,-6,-22,no
Asus,ASUS_Z010D,-8,-17,yes
Asus,ASUS_Z010DA,-8,-17,no
Asus,ASUS_Z010DB,-8,-17,no
Asus,ASUS_Z010DD,-8,-17,no
